,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,页数
49,《The Best Of Best》,环球唱片,1999-02-17,天籁,人声,执迷不悔,王菲,http://musicdata.baidu.com/data2/lrc/70247548/70247548.lrc,49
50,《The Best Of Best》,环球唱片,1999-02-17,天籁,人声,扫兴,王菲,http://musicdata.baidu.com/data2/lrc/70247506/70247506.lrc,50
50,《The Best Of Best》,环球唱片,1999-02-17,天籁,人声,无常,王菲,http://musicdata.baidu.com/data2/lrc/70247463/70247463.lrc,50
50,《The Best Of Best》,环球唱片,1999-02-17,天籁,人声,讨好自己,王菲,http://musicdata.baidu.com/data2/lrc/70247397/70247397.lrc,50
50,《The Best Of Best》,环球唱片,1999-02-17,天籁,人声,棋子,王菲,http://musicdata.baidu.com/data2/lrc/70247344/70247344.lrc,50
50,《The Best Of Best》,环球唱片,1999-02-17,天籁,人声,誓言,王菲,http://musicdata.baidu.com/data2/lrc/70247298/70247298.lrc,50
50,《The Best Of Best》,环球唱片,1999-02-17,天籁,人声,我愿意,王菲,http://musicdata.baidu.com/data2/lrc/70247231/70247231.lrc,50
50,《The Best Of Best》,环球唱片,1999-02-17,天籁,人声,浮躁,王菲,http://musicdata.baidu.com/data2/lrc/70247183/70247183.lrc,50
50,《The Best Of Best》,环球唱片,1999-02-17,天籁,人声,曖昧,王菲,http://musicdata.baidu.com/data2/lrc/70247118/70247118.lrc,50
50,《The Best Of Best》,环球唱片,1999-02-17,天籁,人声,梦中人,王菲,http://musicdata.baidu.com/data2/lrc/70247035/70247035.lrc,50
50,《Merry Christmas》,SONY MUSIC,2010-02-10,天籁,人声,Christmas (Baby Please Come Home),Mariah Carey,http://musicdata.baidu.com/data2/lrc/12453385/12453385.lrc,50
50,《只爱陌生人》,SONY MUSIC,2010-02-10,天籁,人声,推翻,王菲,http://musicdata.baidu.com/data2/lrc/14928194/14928194.lrc,50
50,《我愿意》,环球唱片,1997-09-01,天籁,人声,容易受伤的女人,王菲,http://musicdata.baidu.com/data2/lrc/251699674/251699674.lrc,50
50,《天空》,环球唱片,1994-11-04,天籁,人声,不变,王菲,http://musicdata.baidu.com/data2/lrc/13992225/13992225.lrc,50
50,《I Want To Know What Love Is》,环球唱片,2009-09-16,天籁,人声,I Want To Know What Love Is  Cutmores Radio Shakedown,Mariah Carey,http://musicdata.baidu.com/data2/lrc/65772000/65772000.lrc,50
50,《Heat Cd2》,环球唱片,2008-01-10,天籁,人声,Hero (Feat Luciano Pavarot),Mariah Carey,http://musicdata.baidu.com/data2/lrc/12452412/12452412.lrc,50
50,《只爱陌生人》,环球唱片,2008-01-10,天籁,人声,只爱陌生人,王菲,http://musicdata.baidu.com/data2/lrc/13926382/13926382.lrc,50
50,《只爱陌生人》,环球唱片,2008-01-10,天籁,人声,哔一声之后,王菲,http://musicdata.baidu.com/data2/lrc/27857716/27857716.lrc,50
50,《我愿意》,环球唱片,1997-09-01,天籁,人声,忘掉你像忘掉我,王菲,http://musicdata.baidu.com/data2/lrc/654502/654502.lrc,50
50,《天空》,环球唱片,1994-11-04,天籁,人声,眷恋,王菲,http://musicdata.baidu.com/data2/lrc/251699689/251699689.lrc,50
50,《十万个为什么?》,环球唱片,1993-09-07,天籁,人声,容易受伤的女人,王菲,http://musicdata.baidu.com/data2/lrc/654381/654381.lrc,50
